BIB NO.,AGE,GENDER,CATEGORY,SWIM,T1,BIKE,T2,RUN
1,33,M,M PRO,00:12:22,00:02:57,01:00:12,00:00:47,00:34:27
2,32,M,M PRO,00:12:02,00:03:11,00:57:06,00:00:49,00:35:24
3,31,M,M PRO,00:12:40,00:03:16,01:01:16,00:00:44,00:34:27
4,28,M,M PRO,00:14:11,00:03:00,01:05:24,00:00:55,00:32:51
5,27,M,M PRO,00:12:13,00:03:03,01:02:46,00:00:52,00:34:58
7,26,M,M PRO,00:13:09,00:03:34,01:03:23,00:01:00,00:36:26
9,29,M,M PRO,00:15:22,00:03:52,01:05:06,00:00:53,00:38:45
51,35,F,F PRO,00:12:39,00:03:37,01:04:42,00:00:49,00:36:14
52,35,F,F PRO,00:12:40,00:03:42,01:04:36,00:00:48,00:36:40
53,41,F,F PRO,00:13:21,00:03:32,01:09:41,00:01:04,00:41:48
54,41,F,F PRO,00:13:29,00:03:56,01:08:35,00:01:08,00:38:29
55,25,F,F PRO,00:12:49,00:03:28,01:08:04,00:00:48,00:38:49
58,27,F,F PRO,00:12:51,00:03:34,01:10:10,00:00:52,00:37:52
131,25,M,M PREMIER,00:14:21,00:03:50,01:03:20,00:00:45,00:36:11
133,21,M,M PREMIER,00:14:54,00:04:32,01:04:05,00:01:06,00:39:10
134,22,M,M PREMIER,00:17:59,00:04:12,01:11:08,00:00:59,00:39:13
135,23,M,M PREMIER,00:14:25,00:03:38,01:03:23,00:00:51,00:40:12
136,23,M,M PREMIER,00:14:41,00:04:23,01:05:51,00:01:13,00:37:46
137,25,M,M PREMIER,00:16:06,00:04:02,01:07:23,00:01:09,00:36:45
138,25,M,M PREMIER,00:16:16,00:03:41,01:02:25,00:00:49,00:33:15
139,25,M,M PREMIER,00:16:23,00:03:44,01:03:21,00:00:54,00:34:42
140,26,M,M PREMIER,00:18:33,00:04:56,01:14:32,00:02:15,00:44:00
143,27,M,M PREMIER,00:15:43,00:04:31,01:17:39,00:01:14,00:47:05
144,28,M,M PREMIER,00:16:57,00:03:59,01:11:44,00:01:04,00:42:02
146,29,M,M PREMIER,00:14:19,00:03:59,01:03:14,00:00:55,00:35:53
147,30,M,M PREMIER,00:17:20,00:04:21,01:06:47,00:01:25,00:36:09
148,30,M,M PREMIER,00:18:06,00:04:27,01:04:22,00:01:08,00:39:51
149,31,M,M PREMIER,00:15:57,00:04:16,01:13:57,00:01:18,00:35:52
150,31,M,M PREMIER,00:16:32,00:03:51,01:06:43,00:00:56,00:33:58
151,31,M,M PREMIER,00:14:59,00:03:33,01:04:54,00:00:58,00:37:10
